id,original_title,genres_id,vote_average
1125899,Cleaner,"28, 53",6.75
1229730,Carjackers,"28, 12",7.026
822119,Captain America: Brave New World,"28, 53, 878",6.119
1261050,De lydløse,"28, 18",6.2
1197306,A Working Man,"28, 80, 53",6.9
1165067,Cosmic Chaos,"53, 878",6.944
1373723,The Codes of War,"28, 10752",7.44
1252309,Pídeme lo que quieras,"10749, 18",6.0
1388366,Popeye the Slayer Man,27,6.7
257094,Holland,"53, 9648",5.5
762509,Mufasa: The Lion King,"12, 10751, 16",7.5
950387,A Minecraft Movie,"10751, 35, 12, 14",6.872
447273,Snow White,"10751, 14",4.505
1254786,The Life List,"10749, 35, 18",6.959
1241982,Moana 2,"16, 12, 10751, 35",7.1
1020414,Peter Pan's Neverland Nightmare,"27, 53, 14",5.846
1233575,Black Bag,"53, 18, 9648",6.631
1356039,Contraataque,"28, 12, 53",8.404
1297763,ニンジャバットマン対ヤクザリーグ,"16, 28",6.774
939243,Sonic the Hedgehog 3,"28, 878, 35, 10751, 12, 14",7.763
1297763,ニンジャバットマン対ヤクザリーグ,"16, 28",6.79
696506,Mickey 17,"878, 35, 12",6.969
950396,The Gorge,"10749, 878, 53",7.737
1301650,Z Zone,27,7.1
1441734,Giro final,27,4.0
1405338,Demon City 鬼ゴロシ,"28, 80, 14, 53",6.922
1212855,Fight or Flight,"28, 53",5.7
1077782,Old Guy,"28, 35",5.623
539972,Kraven the Hunter,"28, 12, 53",6.625
1217379,Hellhound,"28, 80, 53",6.485
1084199,Companion,"27, 878, 53",7.08
1139937,Frogman,"27, 14",5.0
927342,அமரன்,"28, 18, 12, 10752",7.418
1143407,स्काई फ़ोर्स,"28, 53",7.2
912649,Venom: The Last Dance,"28, 878, 12",6.783
1062276,Dark Match,"28, 27",4.8
912032,Mar.IA,"27, 53, 878",0.0
777443,The Electric State,"878, 12, 28",6.6
995926,베테랑 2,"28, 80",6.967
1104845,Plankton: The Movie,"16, 12, 35, 10751, 14",6.94
1104845,Plankton: The Movie,"16, 12, 35, 10751, 14",6.94
1202479,Opus,"53, 9648, 27",5.6
823219,Straume,"16, 14, 12",8.253
558449,Gladiator II,"28, 12, 18",6.767
1124620,The Monkey,"27, 35",5.969
1357633,俺だけレベルアップな件 -ReAwakening-,"28, 12, 14, 16",6.9
1064486,Memoir of a Snail,"16, 18, 35",7.957
533535,Deadpool & Wolverine,"28, 35, 878",7.608
519182,Despicable Me 4,"16, 10751, 35, 878",7.1
1160956,熊猫计划,"28, 35",6.962
1391385,Uppercut,"18, 53",4.2
1010581,Culpa mía,"10749, 18",7.824
926670,Henry Danger: The Movie,"28, 35, 10751, 878",7.8
1140535,Presence,"27, 18, 53",5.976
7451,xXx,"28, 12, 53, 80",5.9
933260,The Substance,"27, 878",7.137
1064213,Anora,"18, 35, 10749",7.053
1184918,The Wild Robot,"16, 878, 10751",8.336
1226406,Love Hurts,"28, 35, 10749",5.941
1022789,Inside Out 2,"16, 12, 35, 10751",7.6
1187294,¿Quién es quién?,"35, 10751",4.7
1265623,Banger,"35, 10402",6.125
1407861,The Bayou,"53, 27, 28",6.231
1249289,Alarum,"28, 80, 53",5.8
426889,Le Clitoris,"16, 99",6.8
1210938,계시록,"53, 80, 9648",6.405
980296,Los Frikis,18,6.0
774370,Dog Man,"10751, 16, 35, 28",7.8
1286663,Control Freak,27,5.6
238,The Godfather,"18, 80",8.686
1244361,ช.พ.๑ สมรภูมิคืนชีพ,"27, 28, 53",3.8
1230208,Bastion 36,"28, 80, 18, 53",6.336
1156593,Culpa tuya,"10749, 18",7.1
335984,Blade Runner 2049,"878, 18",7.576
921436,탈주,"28, 18",7.3
157336,Interstellar,"12, 18, 878",8.453
1035048,Elevation,"28, 878, 53",6.485
